YEAR,TITLE,LECTURER,MAJOR,LOCATION,DESCRIPTION,START,END,TIME,APPOINTMENT,CREDIT,CONTACT
2025ss,Introduction to Creative Computation Tool,Helin Ulas,Media Art,R. 323,"This seminar introduces students to the frameworks and methodologies of immersive and real-time media creation focusing on visual programming environments. The course covers creative computation terminologies, system building methods using Touchdesigner. We will have homework to follow along with the creation of an interactive system to understand possibilities and learn ways of programming it. We will also have an Open Lab format where students are invited to work together on questions to solve the homework/project assignments. This lecture is an introductory one granting Grundlagennachweis and is geared towards first—and second-year students. Diplom students are also welcome and can obtain Workshop-Nachweis by completing homework assignments on a case-by-case basis. The class will take place with a minimum of 5 students registered; maximum capacity is 10. 80% attendance is required to obtain credit.",23.05.2025,20.06.2025,10:30 - 13:30,"23.05, 30.05, 06.06, 20.06.2025",Grundlagennachweis,amjanus(at)hfg-karlsruhe.de
2025ss,Image routines,Karolina Sobel,Media Art,R. 101,"This workshop explores photographic archives from the perspective of the image producer, questioning how their role influences the reading and understanding of images. While moving from one place to another, photographs provoke various readings that are influenced by the language that sourrounds them (Berger). We will explore among others the civil contract of photography(Azoulay), The death of the author(Barthes, Foucault) and The presence of images that should not have been taken, and the absence of images that should have been made (Alloula). Through readings, discussions, and visual exercises, we will engage with selected texts, including chapters from Obtuse, Flitting By, and In Spite of All – Image Archives in Practice. Notes on Archive 1 by Ines Schaber, to deepen our understanding of archival practices and their implications.",26.05.2025,06.06.2025,11:00 - 16:00,26 – 27.05 ; 6.06 Abschlussdiskussion & Besuch in Städtischen Galerie,Workshop-Nachweis Medienkunst,ksobel(at)hfg-karlsruhe.com
2025ss,Backbone of photography II,"Prof. Susanne Kriemann, Karolina Sobel",Media Art,R. 101,"In this seminar, we will explore both the theoretical and practical aspects of photography. We invite you to engage with what Kaja Silverman calls ""the threshold of the visible world"": What are photographs? What do they address beyond what is depicted within the frame? And what is implied when we handle and share them? Photography serves as a portal through which our relationship to the human and more-than-human environment is negotiated, made visible, and communicated. As a way of understanding the core of the photographic medium, this seminar embraces artistic research. In the summer semester, we will undertake a practical exploration of the Fruchthalle collection from a feminist perspective. This includes visiting the collection, developing our own approaches to engaging with it, and participating in the exhibition at the Fruchthalle Rastatt in July. This semianar is held in collaboration with Vera Gärtner(ADSZ).",06.05.2025,24.07.2025,14:00 - 17:30,"Tuesdays, bi-weekly. Visit to Fruchthalle Rastatt: 07.05",Leistungsschein Medienkunst,"ksobel(at)hfg-karlsruhe.de , skriemann(at)hfg-karlsruhe.de"
2025ss,Exkursion nach Wien und Graz um Ausstellungen zu besuchen,"Prof.Susanne Kriemann, Karolina Sobel",Media Art,Excursion,"We warmly invite you to visit some of the most significant institutions in Austria, such as the Vienna Secession (Aglaia Konrad), the Belvedere (Hans Haacke), the Albertina, and the Leopold Museum. Additionally, we will explore the MAK, Kunsthaus, and MuseumsQuartier. While in Vienna, we also plan to visit the Angewandte, especially the Werkstätte Analoge Fotografie, which is led by artists Lisa Rastl and Claudia Rohrauer. Then we will travel on to Graz, we will visit Susanne Kriemann's solo exhibition Ray, Rock, Rowan (Being a Photograph) at Camera Austria as well as the book launch of her new book, published by Camera Austria, designed by James Langdon.",14.05.2025,18.05.2025,All day,Orga meeting: 28.04 18:00 Online / R. 101,Kein Scheinerwerb möglich,ksobel(at)hfg-karlsruhe.de ; dwang(at)hfg-karlsruhe.de
2025ss,Pixel Toolbox,Karolina Sobel,Media Art,R. 101,"A series of hands-on workshops focusing on the technical aspects of digital cameras and image processing in digital photography. In these sessions, participants will explore different digital camera systems, understanding their advantages, limitations, and unique features while learning how to use them effectively. A section of the workshop will be dedicated to image editing, processing, and documentary practices, covering workflows in Adobe software, digital development, and generative imaging. This introduction provides the necessary skills for independent work and is a prerequisite for borrowing equipment. Diplom students can obtain Workshop Scheine by completing a homework assignment on a case-by-case basis.",02.06.2025,27.06.2025,10:00 - 16:00,"Ganztätig: 02.06., 26.06., 27.06.",Grundlagennachweis,ksobel(at)hfg-karlsruhe.de
2025ss,Assembly of Resources #2,"Prof. Filipa César, Prof Nina Zschocke, Mustafa Emin Büyükcoşkun",Art Research and Media Philosophy,R. 103,"The Berlin Conference, which took place from 15 November 1884 till 23 February 1885, assembled men representing actual Germany, Hungary, Belgium, Denmark, Spain, USA, France, Great Britain, Italy, Netherlands, Portugal, Russia and Turkey engaging in one of the most efficient historical legalizations of ecological and human devastation. Thus, the waterway for the future flow of diamonds, gold, platinum, copper, cobalt, iron, uranium, bauxite, oil, and other raw materials was established. Mineral resources supply both our technological and biological bodies and are conductors of electric power, substance metabolism, and information transfer. They are the saps of our medialities. What else gets mediated and flows through these exchanges beyond human intentionality? Can we imagine or stage an ‘assembly of resources’, and what would it imply? Assembly of Resources is a two-semester seminar. Assembly of Resources #1 was held during the winter semester of 2024/25 in collaboration with ORC - Open Resource Center, HfG, and Savvy Contemporary, Berlin. It started with a 4-day research excursion to Berlin and reading sessions that focused on the history and theory of extraction and colonialism. Assembly of Resources #2 takes place during the summer semester of 2025; this time, we will also investigate the life that exists within seemingly inert resources, continuing the series of field trips, reading sessions, workshops, and colloquia. Students are invited to develop their individual or collaborative projects and research, or to continue those initiated in the winter semester. In collaboration with the Living Library and Savvy Contemporary - exhibition opening on 14th November 2025.",08.05.2025,24.07.2025,Siehe Terminbeschreibung,"Thu. 8. May 9:00–11:00 - 12:00-16:00 - Seminar / Thu. 22. May 9:00–11:00 - 12:00-16:00 - Seminar / Mon. 2., Tue. 3. June 9:00 - 17:00 (schedule TBC) - Infestants workshop - with Living Library Wed. 4., Thu. 5. June 9:00–11:00 - 12:00-16:00 - Seminar / Fri. 6. June 12:00-14:00 - Theory Colloquium Tue. 17., Wed. 18., Thu. 19. June - 10:00–12:00 - 13:00-16:00 - Seminar / Thu. 26. June 9:00-11:00 - 12:00-16:00 - Project Colloquium / Fri. 27. June - Field Trip Thu. 3., Fri. 4., Sat. 5 July 2025 - adobe (sun-dried mud brick) workshop - with Savvy Contemporary / Fri. 4. July 12:00-14:00 - Theory Colloquium / Thu. 10. July - 12:00-14:00 - Theory Seminar / Thu. 24. July - Final Colloquium",Leistungsschein Medienkunst; Leistungsschein Kunstwissenschaft,fcesar(at)hfg-karlsruhe.de
2025ss,Sprechstunde,Karolina Sobel,Media Art,R. 358 / Online,"Projektbesprechungen, Betreuung von Einzel- und Gruppenprojekten. Projekt-, Vordiplom- und Diplombetreuung in Form von Einzelgesprächen. Nach Vereinbarung: ksobel(at)hfg-karlsruhe.de. Die Vorbereitung auf das Vordiplom findet am 06.06. um 16:30 Uhr in 101 statt. Offen für alle Interessierte. Consultation hours Consultation of individual and group projects. Project, pre-diploma and diploma supervision in the form of individual meetings. By appointment: ksobel(at)hfg-karlsruhe.de.",01.04.2025,30.09.2025,Nach Vereinbarung,Nach Vereinbarung,Kein Scheinerwerb möglich,ksobel(at)karlsruhe-hfg.de
2025ss,Preparation for Prediplomma,"Karolina Sobel, Helin Ulas",Media Art,R. 101,"Colloquium for students working on their pre-diploma projects. The colloquium provides a space for discussion, feedback, and exchange, supporting both individual and group projects.",19.05.2025,01.07.2025,16:00 - 18:00,19.05 & 30.06,Kein Scheinerwerb möglich,"ksobel(at)hfg-karlsruhe.de ,hulas(at)hfg-karlsruhe.de"
2025ss,16mm Film Production and Post-Production Seminar,Marine Hugonnier,Media Art,tba,"1- ANALOGUE ONTOLOGY AND FILM HANDLING AND TECHNIQUES (May 6, 7, 8, 12th) We will start this seminar with a theoretical introduction to the ontology of the analogue image so it can be fully grasped and understood. Different films and filmmakers’ practices who only work on 16mm, will be presented. Then for the next two days 16mm techniques will be introduced, i.e. the different range of cameras and lenses. You will be able to handle 16mm film stock, learn how to load a camera and to use a light meter, without losing sight of the processing, the photochemistry, the value and pricing as well as the workflow 16mm implies. Each of you will be asked to prepare a dossier detailing for your silent narrative 3 minutes film project. The consultation day to review your dossier will be Monday May 12th. 2- SHOOTING ON 16mm (Between May 16, 17, 18th) You will shoot your film between May 16th and 18th taking turns with the analogue cameras available. Once done your films will be sent to ANDEC, a film lab in Berlin to be processed and scanned. 3-16MM DIY DEVELOPMENT (May 19, 20, 21st) During this session you will develop one roll of 16mm reversal Black and White with the title and credits of your films. During this development session, you will be able to practice rewinding cans, mixing chemicals, timing the baths, learn how to dry film strips and how to troubleshoot mistakes. 4-EDITING ON STEENBECK TABLES WITH TILL GOMBERT (June 3, 4, 5, 6th) Once ANDEC sends back your films, Till Gombert will give you a broad and thorough introduction to the Steenbeck editing table, detail splicing techniques and show diverse experimental usage, as well as overseen how to manage the workflow the Steenbeck implies. Once done you will be able to edit your projects on the Steenbeck table. 5-PRESENTATION DAY (July 24 or 25th). All films will be screened at the Blauer Salon during the end of the year show. This seminar requires that you FULLY commit to all dates of all five sessions in order to register. Dates are as follow : 1st session : May 6, 7, 8, 12, 2025 2nd session : May 16, 17, 18, 2025 3rd session : May 19, 20, 21, 2025 4rd session with Ms Gombert : June 3, 4, 5, 6, 2025 5th session : July 25, 2025 Contact to register : Hyeonju Lee: hlee(at)hfg-karlsruhe.de (Professor Hugonnier’s Hiwi’s) Please specify which semester you are in when you register. Maximum students : 6 Deadline to register: April 28th 2025",06.05.2025,25.07.2025,10:00 - 18:00,06/05/2025 to 25/07/2025,Leistungsschein Medienkunst,mhugonnier(at)hfg-karlsruhe.de
2025ss,"Fresh, Fruitful and Fantastic Film Gatherings",Marine Hugonnier,Media Art,tba,"These FFF meetings is calling all film students of every level and will happen twice during this summer semester. During these gatherings we will exchange about the school, the program, hear about your wellbeing and your projects so we can all foresee what is missing and needed to achieve them in terms of artistic input, production, crew and finances. To do so you will be asked to present your project to the group. These gathering are to create a synergy between all film students and the MK film team so everyone knows of each other projects and everyone can find help – ears, hands and support when needed. This initiative is are an essential step to shape our department, so your participation is more than highly recommended, it is vital so the MK film team achieves magnifying your talents. Dates: May 20th and June 24th from 18:00 to 21:00 Contact to register : Hyeonju Lee: hlee(at)hfg-karlsruhe.de (Professor Hugonnier’s Hiwi) Please indicate which semester you are in when you apply. Deadline : April 28th 2025",20.05.2025,24.06.2025,18:00 - 21:00,20/05/2025 and 24/06/2025,Kein Scheinerwerb möglich,mhugonnier(at)hfg-karlsruhe.de
2025ss,"Nurturing, Caring and Tailored Feedback – Individual Consultations",Marine Hugonnier,Media Art,R. 456,"Individual sessions, i.e.: nurturing, caring and tailored feedback available for anyone who is currently preparing an intermediate diploma or a diploma. This is a call to all students with a filmic practice or interested in filmmaking. Dates: 22.04., 13.05., 26.05., 27.05., 09.06., from 10:00 to 17:00 Uhr 06.05 / 07.05 / 19.05 / 17.06 / 25.06 / = from 17:00 Uhr More time can be allocated on demand. Contact to register: mhugonnier(at)hfg-karlsruhe.de",22.04.2025,25.06.2025,"10:00 - 17:00, 17:00 Onwards",22/04/2025 to 25/06/2025,Kein Scheinerwerb möglich,mhugonnier(at)hfg-karlsruhe.de
2025ss,Intense Scriptwriting Week (Ch. 2),"Marine Hugonnier, Philippe Barriere",Media Art,tba,"This scriptwriting seminar is dedicated to the students who are currently working towards finishing a treatment or a first draft of a feature length narrative film or a short narrative film. The seminar will start with a two-day group discussion lead by Professor Hugonnier (July 7 and 8) where you will be asked to present the progress you have made on your projects and your dossier since the excursion at the PAF in France in February 2025, or during last semester. This will be followed by a three day one to one session (July 9,10,11) with Philippe Barrière - who is a script consultant at the Torino Film Lab, The Semaine de la Critique at Cannes Film Festival and professor Hugonnier so to help straighten, challenge or complexify your scripts. Dates: July 7, 8 with Professor Hugonnier July 9, 10, 11 with Professor Hugonnier and Philippe Barriere To register you must commit to all 5 days. Contact to register : Hyeonju Lee: hlee(at)hfg-karlsruhe.de (Professor Hugonnier’s Hiwi) Deadline to register : April 28th, 2025 8 Students maximum",07.07.2025,11.07.2025,10:00 - 18:00,07/07/2025 to 11/07/2025,Leistungsschein Medienkunst,mhugonnier(at)hfg-karlsruhe.de
2025ss,Unravelling Sound on Set (Ch. 2),Marine Hugonnier,Media Art,tba,"David Lynch said in an interview in 2020 “I would say that picture dictate sound, but sometimes it is the other way around. Sounds conjures an image. And so the sound is what come first. But sound is, I think every director would realize this, that sound is 50% of the picture, if not more, at least it is for me, and to get sound to marry to the picture is the trick. So it's not just a sound effect for a sound effect, it's in that world, it marries to it. And you work and work and work till you get that.” This seminar is dedicated to film students who are currently preparing an intermediate diploma or a diploma with a short or feature length narrative or documentary projects and who need to consider theoretically and practically once for good how to handle sound on set so your soundtrack stands against or with your images. A scene will be rehearsed at scale 1 with actors during this seminar to give you a working understanding – basic and advanced industry skills leading you to explore the different equipment of sound recording (digital recorders as well as microphones), to master sound on set and understand how sound is effectively image building. Dates: June 24, 25, 26, 27th, 2025 Contact to register: Professor Hugonnier’s Hiwi Hyeonju Lee: hlee(at)hfg-karlsruhe.de To register you must commit to all 4 days. Deadline to register: April 28th, 2025 Maximum 6 students",24.06.2025,27.06.2025,10:00 - 18.00,24/06/2025 to 27/06/2025,Leistungsschein Medienkunst,mhugonnier(at)hfg-karlsruhe.de
2025ss,"Maybe the sky is really green, and we’re just colourblind? (A crash course in reclaiming storytelling & belonging) - Johan Grimonprez Masterclass","Marine Hugonnier, Helin Ulas, Filipa César, Charlotte Eifler, Mathias Bruhn",Art Research and Media Philosophy,ZKM Museum (June 16 and 17 ) and ZKM Media Lounge (June 18),"“Who owns our imagination in a world of existential vertigo where truth has become a shipwrecked refugee? Is it not the storyteller who can contain contradictions, who can slip between the languages we have been given and who can become a time-traveller of the imagination?”. These questions will be the starting point of Johan Grimonprez’s masterclass to affectively assess what true colour the sky is. Grimonprez is known for his films between art and cinema, which mix fiction and documentary through a collage-like, archival approach and weaves new narratives pathways and stories, emphasizing a multiplicity of realities. His practice examines themes such as propaganda, the role of mass media, global power dynamics, and the nature of storytelling questioning the reliability of history and the ways narratives are constructed in the digital and television age. His work forms overall an acute and an indispensable criticism of contemporary media manipulation and of mainstream’s consensus about History. His famous Dial H-I-S-T-O-R-Y (1997), explores the history of airplane hijackings using found footage, news broadcasts, and literary references, while Double Take (2009), blends Alfred Hitchcock clips, Cold War paranoia, and doppelgänger narratives to comment on media manipulation and fear politics. His most recent documentary: Soundtrack for a Coup d’Etat (2024) which has been nominated for an Oscar this year, explores the Cold War episode that led American musicians Abbey Lincoln and Max Roach to crash the UN Security Council in protest against the murder of Congolese leader Patrice Lumumba. Dates : June 16, 17, 18th 2025 Maximum 15 students from the Media Art Dept. + Maximum 15 students from the Art Research and Media Philosophy Dept. Contact to register: Professor Hugonnier’s Hiwi Hyeonju Lee: hlee(at)hfg-karlsruhe.de To register you must commit to all 3 days. Please indicate which department you are with when you register. Deadline to register: April 28th, 2025 External participants are: -The Filmakademie Baden Württemberg: Professor Thomas Lauterbach + 15 students. -Amna Murtada Khalid Elamin: Artist in residence at the ZKM Video Studio. This three-day masterclass is organised in parallel of a retrospective of Mister Grimonprez’s work which opens on June 6th 2025 at ZKM. https://johangrimonprez.be/wp-bio/ https://johangrimonprez.be/main/home.html",16.06.2025,18.06.2025,10:00 - 17:00,16/06/2025 to 18/06/2025,Workshop-Nachweis Medienkunst,"mhugonnier(at)hfg-karlsruhe.de, hulas(at)hfg-karlsruhe.de, mbruhn(at)hfg-karlsruhe.de, fcesar(at)hfg-karlsruhe.de, ceifler(at)hfg-karlsruhe.de"
2025ss,Sprechstunde,Nico Hain,Media Art,R. 336 oder nach Vereinbarung,"Sprechstunde zu Projekten, (Vor-)Diplomen, oder begleitend zu Seminaren. Sprachen: Deutsch oder Englisch",28.04.2025,23.07.2025,09:00 - 11:30,"Wöchentlich, Montags und Mittwochs",Kein Scheinerwerb möglich,nico.hain(at)hfg-karlsruhe.de
2025ss,Exkursion dokKa,Nico Hain,Media Art,Kinemathek Karlsruhe,"Der Fokus des Karlsruher Festivals liegt auf der Dokumentation. Im Gegensatz zu anderen Dokumentarfilmfestivals konzentriert sich dokKa auf die Vielfalt von Dokumentationen. Dabei wird die Wahl des technischen Mediums (Film, Ton, Installation) dem Inhalt, der künstlerischen Form und der thematischen Auseinandersetzung untergeordnet. Es werden jährlich bis zu 20 Filme und Hördokumentationen präsentiert. Demnach ein Grenzgänger und offen vor allem für experimentelle und neue Formen. Wichtig für das Festivals ist die anschließende Diskussion mit den Regisseur:innen und Autor:innen. Termine: Vorbesprechung/ Festivaleröffnung: 30.04., 18:00 - 20:00 Uhr, Kinemathek Karlsruhe Vorführungen/ Werkstattgespräche: 01.05.-04.05., ganztägig, Kinemathek Karlsruhe, Schauburg Karlsruhe Nachbesprechung/ Preisvergabe: 04.05., 18:00 - 20:00 Uhr, Kinemathek Karlsruhe Eine kontinuierliche Anwesenheit ist erwünscht und sinnvoll. Für den Erwerb des Leistungsnachweises wird eine Mindestanzahl von Vorführungsbesuchen, sowie eine abschließende Hausarbeit vorausgesetzt. Begrenzte Anzahl von Teilnehmer*innen, Anmeldung aus Zeitgründen per E-Mail bis 25.04., 12:00 Uhr an nhain(at)hfg-karlsruhe.de, regelmäßig jedes zweite Semester. Sprachen: Deutsch und / oder Englisch",30.04.2025,04.05.2025,11:00 - 21:00,Mehrtägige Exkursion,Leistungsschein Fachtheorie Medienkunst,nico.hain(at)hfg-karlsruhe.de
2025ss,Rohschnitt,Nico Hain,Media Art,R. 203 (Z1),"Einführung in die Grundfunktionen eines digitalen Schnittsystems (hier: DaVinci Resolve). Ziel ist der sichere Umgang mit der Schnittsoftware, um in der (Nach-)bearbeitung zeitbasierter, audiovisueller Medien die inhaltlichen Fragen in den Vordergrund des Arbeitens zu bekommen. Empfehlenswert auch für alle, die bereits Erfahrung mit vergleichbarer Software haben. Das Blockseminar ist die Grundlage für weiterführende Schnittseminare. Begrenzte Anzahl von Teilnehmer*innen, Anmeldung nur per Anmeldeformular Medienkunst, regelmäßig pro Semester. Sprachen: Deutsch",26.05.2025,27.05.2025,10:00 - 16:00,Blockseminar,Grundlagennachweis,nico.hain(at)hfg-karlsruhe.de
2025ss,Digitale Filmkamera,"Nico Hain, Pauline Cemeris",Media Art,R. 227 (Filmausleihe),"Der Kurs bietet die spezialisierte Einführung in die Bedienung der Digitalen Filmkamera Arri Alexa inklusive erweitertem Zubehör (Dolly Grip, Licht) und ist Bedingung für die Ausleihe der jeweiligen Geräte. Begrenzte Anzahl von Teilnehmer*innen, Voraussetzung Teilnahme: Grundlagennachweis „Digitale Videokamera“ notwendig, Anmeldung nur per Anmeldeformular Medienkunst, regelmäßig jedes zweite Semester. Sprachen: Deutsch und / oder Englisch",23.06.2025,24.06.2025,10:00 - 16:00,Blockseminar,Grundlagennachweis,nico.hain(at)hfg-karlsruhe.de
2025ss,Feinschnitt,Nico Hain,Media Art,R. 203 (Z1),"Vertiefendes (Nach-)bearbeiten zeitbasierter, audiovisueller Medien mit einem professionellen Schnittsystem (hier: DaVinci Resolve) Das Seminar richtet sich an alle, die bereits geschnitten haben und somit über sehr gute Kenntnisse besitzen. Ausführlich eingegangen wird auf die Möglichkeit der nachträglichen Farbkorrektur (Grading). Begrenzte Anzahl von Teilnehmer*innen, Voraussetzung Teilnahme: Grundlagennachweis „Rohschnitt“ notwendig, Anmeldung nur per Anmeldeformular Medienkunst, regelmäßig jedes zweite Semester. Sprachen: Deutsch",14.07.2025,15.07.2025,10:00 - 16:00,Blockseminar,Grundlagennachweis,nico.hain(at)hfg-karlsruhe.de
2025ss,Untitled (The Image Archive of a Nuclear Research Reactor),Prof. Susanne Kriemann,Media Art,R. 101,"D Im Hardtwald nördlich von Karlsruhe befindet sich der Campus Nord des Karlsruher Instituts für Technologie, auf dessen Gelände das ehemalige Forschungszentrum für Kernenergie liegt. Dort befinden sich auch die ehemaligen Forschungsreaktoren, die in unterschiedlichen Stadien des Rückbaus sind. Die Aktivitäten des Forschungszentrums wurden von 1956 bis 2006 von Berufsfotografen dokumentiert. Dieses Bild-Archiv umfasst 210.000 Aufnahmen. Davon sind 20.000 Aufnahmen digitalisiert worden. Im Jahr 2020 wurde das Buch “10% Das Bildarchiv eines Kernforschungszentrum betreffend” zusammen mit Spector Books herausgegeben, in welchem unterschiedliche Blickwinkel auf das Bild-Archiv dokumentiert sind. Es ist geplant, ein weiteres Buch zum Bildarchiv und in Zusammenarbeit mit KIT und Spector Books 2026 heraus zu geben. Im Seminar werden wir die unterschiedlichen Bildwelten, die sich im Archiv befinden, erforschen. Es wurde alle Aktivitäten der Kernforschung und der Mitarbeitenden dokumentiert. Darüber werde wir auch eine kleine Geschichte der Fotografie kennen lernen. Dazu lesen wir Texte und besprechen künstlerische Arbeiten zum Thema. Weiter werden wir die realen Orte der Kernforschung, der Kernenergie-Gewinnung und des atomaren Abfalls im Umfeld von Karlsruhe und in Baden-Württemberg besuchen. Es entstehen sowohl eigene fotografische Arbeiten, die kritisch innerhalb unseres Seminars und in Kontext von theoretischen und ästhetischen Aspekten beleuchtet werden. Das Seminar ist Teil 1 einer Reihe von 3 Seminaren. Im WiSe 2025/2026 planen wir eine Zusammenarbeit mit der Freien Universität Amsterdam und Dr. Maria-Kyveli Mavrokoropoulou. Im SoSe 2026 soll das neue Buch dann zusammengefügt und gegen Ende 2026 herausgegeben werden. EN The North Campus of the Karlsruhe Institute of Technology is located in the Hardtwald forest.There the former nuclear research centre is located. The former research reactors, which are in various stages of dismantling, are also there. The activities of the research centre were documented by professional photographers from 1956 to 2006. This image archive comprises 210,000 photographs. Of these, 20,000 images have been digitised. In 2020, the book ‘10% Concerning the image archive of a former nuclear research center’ was published together with Spector Books. Different perspectives on the image archive are shown there. It is planned to publish a new book in 2026, re-searching the image archive with a new group of people, in collaboration with HfG, KIT and Spector Books. In the seminar, we will explore the different visual worlds to be found in the archive.The images speak of different activities concerned with nuclear research, but also a brief history of photography can be observed. And we will read texts and discuss artistic works related to our subjects archive and nuclear. We will visit some of the actual sites of nuclear research, nuclear energy production and nuclear waste located in the Karlsruhe area and in Baden-Württemberg. Our own photographic works will be set in dialogue with what has been documented before. The seminar is the first one in a series of three seminars. In winter semester 2025/2026 we will collaborate with Dr Maria-Kyveli Mavrokoropoulou of Vrije Universiteit Amsterdam.",08.05.2025,17.07.2025,10:00 - 14:00,"Thursdays, bi-weekly",Leistungsschein Medienkunst,skriemann(at)hfg-karlsruhe.de
2025ss,Consultations,Prof. Susanne Kriemann,Media Art,R. 358,"Beratung zur Entwicklung eigenständiger künstlerischer Arbeiten: Themenfindung, Medium-Spezifität und Ausstellung; Betreuung von Vordiplomen und Diplomen; Counselling for the development of independent artistic work: Finding themes, medium specificity and exhibition practices; supervision of pre-diplomas and diplomas.",07.05.2025,16.07.2025,10:00 - 14:00,Wednesday and by appointement,Kein Scheinerwerb möglich,skriemann(at)hfg-karlsruhe.de
2025ss,Re:Member the Future III – Dissolving the NSU Complex,Prof. Charlotte Eifler,Media Art,R. 323,"In collaboration with the Staatsarchiv Chemnitz, ASA-FF, and the initiative NSU – Offener Prozess, this seminar invites students to engage with practices of remembrance and public memorials. The project around a digital and physical memorial space dedicated to the victims and those affected by the NSU complex unfolds both online and in situ. During critical research and conceptual development we examine the political structures and local and wider entanglements that enabled acts of right-wing extremist violence in Chemnitz. Re:member the Future III culminates in an exhibition at the Dokumentationszentrum NSU-Komplex auflösen in Chemnitz, on 5th of July 2025. Between 2001 and 2010, the National Socialist Underground (NSU), a neo-Nazi terror group, carried out a series of racially motivated murders and bombings—supported by a dense network within the far-right milieu of Jena, Chemnitz, and Zwickau. The broader project and exhibition Offener Prozess examines the NSU complex through the lens of East German societal dynamics, particularly in Saxony, tracing the interwoven narratives of migration, systemic racism, and sustained resistance. Drawing on the concept of living memory, the project ""NSU Komplex auflösen"" by ASA FF centers marginalized perspectives, while critically exposing the structural and institutional conditions that fostered—and continue to perpetuate—right-wing atrocities.",08.05.2025,27.07.2025,10:30 - 12:30,8.5. / 15.5. / 27.5./12.5./ 26.6./ set up 2.-4.7./5.7./24.7.,Leistungsschein Medienkunst; Leistungsschein Fachtheorie Medienkunst,ceifler(at)hfg-karlsruhe.de
2025ss,Frameworks of Fiction II,Prof. Charlotte Eifler,Media Art,R. 103,"How do cultural representations contribute to the production of reality and historiography? Which voices and stories are missing within Eurocentric narratives and exhibition productions? And how does fragmented knowledge of the past distort our understanding of the present—and the futures we imagine? For this seminar we will focus on historical paintings, working with the collection of the Kunsthalle Mannheim and examine collection interests, omissions and story telling forms. Our point of departure is Édouard Manet’s seminal history painting L'exécution de l'empereur Maximilien, which captures a moment of colonial violence between the French Empire and Mexican Republicans. From here, we will explore artistic responses that disrupt dominant readings—through performances, immersive media, interactive games, moving images, or XR interventions. These interventions will be shown in Kunsthalle Mannheim on June 18th and are embedded within the framework ‘The Missing Stories. Re-Mapping History in Contemporary Art’, in conjunction with the exhibition by the artist Tavares Strachan opening in April 2025.",08.05.2025,27.05.2025,15:00 - 18:00,8.5. / 15.5. / 27.5./12.5./13.-15.6. Aufbau / 18.6. Eröffnung (10.07./22.7. ),Leistungsschein Medienkunst; Leistungsschein Fachtheorie Medienkunst,ceifler(at)hfg-karlsruhe.de
2025ss,The Floor Is Lava,Prof. Charlotte Eifler,Media Art,R. 103,"Which strategies do we develop when the ground beneath us is no longer stable? How do our notions of community, technology, and infrastructure shift in times of collapse? And what narratives shape our understanding of crises and the possibility of renewal? This seminar approaches apocalyptic imaginaries through artistic, theoretical, and experimental lenses. We navigate the intersections of political, ecological, and technological upheaval to explore the survival strategies that arise when existing systems falter. We will also examine leftist prepper cultures, which—unlike conventional conservative or libertarian survivalist discourses—focus on collective resilience, solidarity networks, and speculative technologies. How can we collaboratively envision pleasurable futures ? Combining critical texts, artistic experiments, body work and practical approaches to alternative worldbuilding, the seminar invites students to contribute both with art works and texts which we will publish at UMBAU Journal.",09.05.2025,27.07.2025,"10:00 - 13:00 (9.5., 13.06.), 15:00-18:00 (alle anderen)",9.5. / 14.5. /28.5. / 13.6. / 09.7./ 23.7.,Leistungsschein Medienkunst; Leistungsschein Fachtheorie Medienkunst,ceifler(at)hfg-karlsruhe.de
2025ss,The Dysfunctional as an Ally,"Prof. Charlotte Eifler, Tania Castellano San Jacinto, Cecile Meier",Media Art,R. 103,"What happens when our tools no longer work as intended—when systems break, devices glitch, or instructions fail? In this workshop, we turn our attention to the productive potential of dysfunction: not as an endpoint, but as an entry into new ways of relating to technology, art, and each other. The technical means provide users with detailed instructions on how to operate them. Expectations about outcomes envisage a range of defined actions in relation to the devices, setting aside another range of possibilities within technological management. In this workshop we will try to bring to light these other ways of understanding technology, embracing failure and the unexpected. To do so, we will analyze certain artistic productions in line with the dysfunctionality applied to technological devices and we will explore from a creative and critical point of view the possibilities of technical means to produce the so-called aberrations. We will use for this purpose photographic devices (camera, cell phone), but opening the possibility to use other electronic or digital devices. On the other hand, we will try to transfer these learnings from the technical level to physical life. This pursues the objective of perceiving the dysfunctional as a productive encounter, capable of generating learning within the artistic plane and proposing new ways of understanding the world around us. The workshop is connected with the seminar The Floor is Lava by Charlotte Eifler and a continuous collaboration with the La Laguna University Santa Cruz.",13.05.2025,14.05.2025,"16:00 - 18:00, 14:00 - 16:00",13.5. /14.5.,Workshop-Nachweis Medienkunst,ceifler(at)hfg-karlsruhe.de
